distribution,mu,sigma,tau,mean,variance,log_likelihood,aic,bic,n_params,ad,position,mean_input,window_start,window_end,a,d,scale,alpha,loc,beta,actual_mean,actual_variance,c,shift
exgaussian,-0.7090026914762693,0.4062890805723165,6.686174485393362,5.97718113450796,47.01821950540112,-1762.4188972809523,3530.8377945619045,3544.0085165631003,3,9.78640960766188,QB,5.0,3.5,6.5,,,,,,,,,,
generalized_gamma,,,,5.39649318590606,26.919438898505064,-17359.0543305927,34724.1086611854,34744.434846061034,3,132.46987550620815,RB,5.0,3.5,6.5,0.8314941804664673,1.486135374480507,3.1234634958458534,,,,,,,
generalized_gamma,,,,5.690615581039968,23.203561910950103,-29369.605393954913,58745.210787909826,58767.11407211556,3,1439.3728045099488,WR,5.0,3.5,6.5,0.5017043430803114,5.298688013725369,0.17311704030266312,,,,,,,
generalized_gamma,,,,5.257208241915606,19.627768550214878,-16301.675526726342,32609.351053452683,32629.59453927815,3,681.8359319776882,TE,5.0,3.5,6.5,0.3689961153811593,10.05819758293178,0.00814460978720817,,,,,,,
gamma,,,,7.418865435356199,20.590856429264317,-4236.611052035967,8477.222104071934,8487.86976520434,2,16.09557455052027,K,5.0,3.5,6.5,,,2.7754724234697883,2.6730099613389138,,0.3602990220849821,7.4188654353562,17.393812960784178,,
skew_normal,,,,6.357388316151202,34.16191522132643,-12723.30658462338,25452.61316924676,25471.55031103712,3,9.086925975876966,DST,5.0,3.5,6.5,,,9.006201752731613,3.4373132806226208,-0.4945958459971149,,,,,
exgaussian,-0.7008708163257956,0.4170321244890165,7.198075122580243,6.497199917485316,49.344094001466445,-1816.9623438362669,3639.9246876725338,3653.1154766381824,3,8.519396266470608,QB,5.5,4.0,7.0,,,,,,,,,,
gamma,,,,5.879709523510597,30.029365427523363,-17513.908128956704,35031.81625791341,35045.323316586444,2,96.65755061316122,RB,5.5,4.0,7.0,,,5.10728724054275,1.1512392482718012,,0.19579866040464378,5.879709523510598,29.054489737732407,,
generalized_gamma,,,,6.0699381513856165,25.13889638870196,-30139.859080748945,60285.71816149789,60307.63074634023,3,1130.1186837884325,WR,5.5,4.0,7.0,0.5669370987150577,4.317950605476357,0.3994777528631571,,,,,,,
generalized_gamma,,,,5.6626458218416,21.61485307990033,-15811.388788712657,31628.777577425313,31648.842938827867,3,458.29260763672664,TE,5.5,4.0,7.0,0.4227470754593985,7.8204307245268225,0.036180657024390675,,,,,,,
gamma,,,,7.4802839116719255,20.86442087254629,-7105.078116142498,14214.156232284997,14225.83291891611,2,24.477996340654045,K,5.5,4.0,7.0,,,2.789255209951364,2.6818212564358204,,0.3585186455625324,7.480283911671925,17.462545029804257,,
skew_normal,,,,6.59248730964467,34.69261361024505,-15438.053041353836,30882.106082707673,30901.61232136849,3,9.756096448585595,DST,5.5,4.0,7.0,,,9.07572186731138,3.3703085455100696,-0.31227462962070185,,,,,
exgaussian,-0.748073185897138,0.40126728165923603,8.16653670842037,7.418464014745116,56.82348522419106,-1884.5583929182544,3775.116785836509,3788.3025706308554,3,8.1600693542091,QB,6.0,4.5,7.5,,,,,,,,,,
weibull,,,,6.3049857530895785,32.24757336510225,-17812.009508721065,35628.01901744213,35641.51117787685,2,86.40964435270871,RB,6.0,4.5,7.5,,,6.54543572771094,,,,,,1.1049196679038358,
